scene_key,target_class,available_image_count,added_image_number,base_coalition_size,permutations_used,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou
S0-SM_tree3,tree,11,5,4,256,0.9984375,0.9680518755720745,0.9890569018854135,0.003762770431785611,0.001522636964600671,0.0006508536963046405
S0-SM_tree3,tree,11,6,5,256,0.9990234375,0.9691132814948831,0.9894534164087215,0.0005859374999999997,0.0010614059228086226,0.00039651452330799995
S0-SM_tree3,tree,11,7,6,256,0.999853515625,0.9700199309966038,0.9898223292371584,0.0008300781249999997,0.0009066495017206466,0.00036891282843685546
S0-SM_tree3,tree,11,8,7,256,1.0,0.9708240111932609,0.990021403878446,0.0001464843749999999,0.0008040801966571753,0.000199074641287609
S0-SM_tree30,tree,13,1,0,256,0.8530831656968123,0.9405837798453562,0.9405837798453562,0.8530831656968123,0.9405837798453562,0.9405837798453562
S0-SM_tree30,tree,13,2,1,256,0.9210821289919723,0.955744252651535,0.9836012383509498,0.06799896329516006,0.015160472806178812,0.043017458505593686
S0-SM_tree30,tree,13,3,2,256,0.9530819324888865,0.9596965401562467,0.9875173836269394,0.03199980349691424,0.003952287504711771,0.003916145275989493
S0-SM_tree30,tree,13,4,3,256,0.9684312446398919,0.9629576152733861,0.9885285717997687,0.015349312151005334,0.0032610751171392865,0.0010111881728294384
S0-SM_tree30,tree,13,5,4,256,0.9784464548840297,0.9638625204391307,0.9890020393533211,0.010015210244137762,0.0009049051657445684,0.0004734675535523242
S0-SM_tree30,tree,13,6,5,256,0.9860306756569172,0.9649490763904016,0.989456347385637,0.007584220772887428,0.00108655595127094,0.0004543080323159035
S0-SM_tree30,tree,13,7,6,256,0.9903399963939106,0.9653975095259968,0.9896921079696084,0.004309320736993449,0.00044843313559525533,0.00023576058397133419
S0-SM_tree30,tree,13,8,7,256,0.9948878857769773,0.9657338349620229,0.9899215337342804,0.004547889383066772,0.0003363254360261858,0.00022942576467192615
S0-SM_tree4,tree,8,1,0,256,0.9179684715691747,0.9456572869997084,0.9456572869997084,0.9179684715691747,0.9456572869997084,0.9456572869997084
S0-SM_tree4,tree,8,2,1,256,0.982644731597611,0.9583471895846423,0.983380195811057,0.06467626002843632,0.012689902584933827,0.037722908811348446
