scene_key,target_class,view_count,scene_mean_distractor_count,scene_median_distractor_count,scene_max_distractor_count,scene_mean_target_visible_rate,scene_mean_target_detected_rate,scene_detected_given_visible,scene_mean_target_ap50_95,scene_mean_target_strict_quality_iou50,scene_mean_target_match_confidence_iou50,scene_clutter_group
S0-SM_container_8,container,9,3.7777777777777777,3.0,9,1.0,1.0,1.0,0.9293518531212099,0.9436269741068659,0.9684271613756815,Q1 low clutter
S0-SM_container_9,container,8,3.625,4.0,8,1.0,1.0,1.0,0.9050000004284083,0.9320974386780256,0.9596371203660965,Q1 low clutter
S0-SM_male1,male,5,3.2,3.0,4,1.0,1.0,1.0,0.72,0.6717251523749773,0.8025713801383972,Q1 low clutter
S0-SM_male10,male,15,13.333333333333334,8.0,36,1.0,1.0,1.0,0.5795925928652287,0.6416317297325129,0.7987836996714274,Q4 high clutter
S0-SM_male11,male,5,5.4,6.0,6,1.0,1.0,1.0,0.7727777809980843,0.7527825554424219,0.8581358909606933,Q3 mid-high clutter
S0-SM_male12,male,10,8.0,6.5,18,0.9,0.9,1.0,0.5872539717666213,0.6083946889470202,0.7255573511123657,Q4 high clutter
S0-SM_male13,male,4,5.0,4.5,7,1.0,1.0,1.0,0.645505960697663,0.7721029976823512,0.8531452715396881,Q2 mid-low clutter
S0-SM_male14,male,7,9.285714285714286,8.0,16,1.0,1.0,1.0,0.7358730175641794,0.7134427467005219,0.8605435405458722,Q4 high clutter
S0-SM_male15,male,17,4.0,2.0,24,1.0,1.0,1.0,0.6473010046122357,0.6542150340466132,0.786234884577639,Q1 low clutter
S0-SM_male16,male,12,5.25,2.5,20,0.9166666666666666,0.9166666666666666,1.0,0.6170816816458548,0.6557583006890161,0.7658750911553701,Q2 mid-low clutter
S0-SM_male17,male,10,9.7,9.5,22,0.9,0.9,1.0,0.7083611125842564,0.6750167001097662,0.7581382274627686,Q4 high clutter
S0-SM_male18,male,13,10.307692307692308,4.0,35,1.0,1.0,1.0,0.7400386666373406,0.7126137112729949,0.8374239756510808,Q4 high clutter
S0-SM_male19,male,9,7.666666666666667,6.0,21,1.0,1.0,1.0,0.6803468590817999,0.7360707809398213,0.8495643006430732,Q4 high clutter
S0-SM_male2,male,13,5.384615384615385,4.0,12,0.9230769230769231,0.9230769230769231,1.0,0.6549450549941797,0.6291195817723584,0.7521543869605432,Q3 mid-high clutter
S0-SM_male20,male,13,10.461538461538462,4.0,29,1.0,1.0,1.0,0.6891117239188088,0.6919629304595182,0.828150226519658,Q4 high clutter
S0-SM_male3,male,13,6.230769230769231,1.0,20,1.0,1.0,1.0,0.6092628214293374,0.6649022144651137,0.8250435178096478,Q3 mid-high clutter
